"address/city","address/country","address/fullAddress","address/state","address/street","address/zipCode","amenities/0","categories/0","categories/1","categories/2","description","distance","hours/0","hours/1","hours/2","hours/3","hours/4","hours/5","listingId","name","openStatus","openStatus/status","openStatus/text","parsedHours/0/closeTime","parsedHours/0/days","parsedHours/0/openTime","parsedHours/0/raw","parsedHours/1/closeTime","parsedHours/1/days","parsedHours/1/openTime","parsedHours/1/raw","parsedHours/2/closeTime","parsedHours/2/days","parsedHours/2/openTime","parsedHours/2/raw","parsedHours/3/closeTime","parsedHours/3/days","parsedHours/3/openTime","parsedHours/3/raw","parsedHours/4/closeTime","parsedHours/4/days","parsedHours/4/openTime","parsedHours/4/raw","parsedHours/5/closeTime","parsedHours/5/days","parsedHours/5/openTime","parsedHours/5/raw","phone","rating/average","rating/totalReviews","snippet","thumbnail","url","website","yearsInBusiness"
"Plano","US","609 W 15th St, Plano, TX, 75075","TX","609 W 15th St","75075",,"Dentists","Orthodontists","Oral &amp; Maxillofacial Surgery",,,"Mo-Fr 08:00-17:00",,,,,,"466290937","Becka David C DDS PC",,"closed now","closed now","17:00","Monday - Friday","08:00","Mo-Fr 08:00-17:00",,,,,,,,,,,,,,,,,,,,,"(972) 633-8300",,,,,"https://www.yellowpages.com/plano-tx/mip/becka-david-c-dds-pc-466290937","http://beckadavidcddspc.localsearch.com",
"Plano","US","5936 W Parker Rd, Plano, TX, 75093","TX","5936 W Parker Rd","75093",,"Dentists","Oral &amp; Maxillofacial Surgery",,,,"Mo-Th 07:30-16:30",,,,,,"8793548","David Wilhite, DDS",,,,"16:30","Monday - Thursday","07:30","Mo-Th 07:30-16:30",,,,,,,,,,,,,,,,,,,,,"(972) 964-3774",,,,"https://i4.ypcdn.com/blob/f05b4f8a248a4cf7c707715546f8ff3286c643a7_130x130_crop.jpg?6046996
","https://www.yellowpages.com/plano-tx/mip/david-wilhite-dds-8793548","http://wilhiteplanodentist.com","46"
"Plano","US","3501 Midway Rd Ste 130, Plano, TX, 75093","TX","3501 Midway Rd Ste 130","75093",,"Dentists","Oral &amp; Maxillofacial Surgery",,,,"Tu 10:00-18:00","We-Fr 08:00-17:00",,,,,"7390013","Kirk Kooker, DDS",,,,"18:00","Tuesday","10:00","Tu 10:00-18:00","17:00","Wednesday - Friday","08:00","We-Fr 08:00-17:00",,,,,,,,,,,,,,,,,"(972) 781-2282",,,,"https://i4.ypcdn.com/blob/8fd0ce660624b5cf9716614694ccba74caf18614_130x130_crop.jpg?6046996
","https://www.yellowpages.com/plano-tx/mip/kirk-kooker-dds-7390013","https://www.enhancingsmiles.com","36"
"Plano","US","901 W 15th St Ste A, Plano, TX, 75075","TX","901 W 15th St Ste A","75075",,,,,,,"Mo-Th 08:00-17:15","Fr 08:00-14:00",,,,,,"Aspen Dental",,,,"17:15","Monday - Thursday","08:00","Mo-Th 08:00-17:15","14:00","Friday","08:00","Fr 08:00-14:00",,,,,,,,,,,,,,,,,"(972) 607-3503",,,,,"https://www.yellowpages.com/plano-tx/mip/aspen-dental-558868594?lid=1002188388243",,
"Plano","US","5132 Village Creek Dr Ste 400, Plano, TX, 75093","TX","5132 Village Creek Dr Ste 400","75093","Wheelchair accessible","Dentists",,,,,"Mo-Fr 09:00-17:00",,,,,,"478740804","Wilson W Lo, DDS",,,,"17:00","Monday - Friday","09:00","Mo-Fr 09:00-17:00",,,,,,,,,,,,,,,,,,,,,"(972) 381-1888",,,,"https://i4.ypcdn.com/blob/8af1b3d30eaa7b3b65cb110c8e5a8407fb1c574f_130x130_crop.jpg?6046996
","https://www.yellowpages.com/plano-tx/mip/wilson-w-lo-dds-478740804","http://texasdentalpa.com",
"Plano","US","3604 Preston Rd Ste 400, Plano, TX, 75093","TX","3604 Preston Rd Ste 400","75093","Wheelchair accessible","Dentists",,,,,"Mo 08:00-17:00","Tu 07:00-16:00","We 08:00-17:00",,,,"3086006","Miranda Lacy, DDS",,,,"17:00","Monday","08:00","Mo 08:00-17:00","16:00","Tuesday","07:00","Tu 07:00-16:00","17:00","Wednesday","08:00","We 08:00-17:00",,,,,,,,,,,,,"(972) 312-0000",,,,,"https://www.yellowpages.com/plano-tx/mip/miranda-lacy-dds-3086006","http://www.mirandalacydds.com",
"Plano","US","5800 Coit Rd, Plano, TX, 75023","TX","5800 Coit Rd","75023",,"Dentists","Orthodontists","Oral &amp; Maxillofacial Surgery",,,"Mo 09:00-17:30","Tu-Th 08:00-17:00","Fr 09:00-12:00",,,,"8293203","James Dean Jensen DDS MSD PA",,"closed now","closed now","17:30","Monday","09:00","Mo 09:00-17:30","17:00","Tuesday - Thursday","08:00","Tu-Th 08:00-17:00","12:00","Friday","09:00","Fr 09:00-12:00",,,,,,,,,,,,,"(469) 241-0500",,,,,"https://www.yellowpages.com/plano-tx/mip/james-dean-jensen-dds-msd-pa-8293203","http://www.jensensmiles.com",
"Plano","US","4701 W Park Blvd, Plano, TX, 75093","TX","4701 W Park Blvd","75093",,"Dentists",,,,,"Mo-Th 08:30-17:30",,,,,,"478724579","Farmer, Randy, DDS",,"closed now","closed now","17:30","Monday - Thursday","08:30","Mo-Th 08:30-17:30",,,,,,,,,,,,,,,,,,,,,"(972) 985-4450",,,,,"https://www.yellowpages.com/plano-tx/mip/farmer-randy-dds-478724579","http://farmerrandydds.localsearch.com",
"Plano","US","4012 Preston Rd Ste 100, Plano, TX, 75093","TX","4012 Preston Rd Ste 100","75093","Wheelchair accessible","Dentists","Orthodontists","Oral &amp; Maxillofacial Surgery",,,"Mo-Fr 09:00-17:00",,,,,,"474473218","Lakeside Dental",,,,"17:00","Monday - Friday","09:00","Mo-Fr 09:00-17:00",,,,,,,,,,,,,,,,,,,,,"(972) 769-0005",,,,"https://i4.ypcdn.com/blob/12331f3cbce99804a1c27a988208025e659c587c_130x130_crop.jpg?6046996
","https://www.yellowpages.com/plano-tx/mip/lakeside-dental-474473218","https://www.drmizar.com/contact-us",
"Richardson","US","291 Renner Pkwy Ste A, Richardson, TX, 75080","TX","291 Renner Pkwy Ste A","75080",,"Dentists","Oral &amp; Maxillofacial Surgery",,,,"Mo-Sa 09:00-17:00",,,,,,"9592104","Tommy B Shultz DDS",,"closed now","closed now","17:00","Monday - Saturday","09:00","Mo-Sa 09:00-17:00",,,,,,,,,,,,,,,,,,,,,"(972) 234-0626",,,,,"https://www.yellowpages.com/richardson-tx/mip/tommy-b-shultz-dds-9592104","http://yellowpages.com/richardson-tx/mip/faiz-allen-9112492",
