symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
BOME,4h,BUY,75,0.000824,0.000796,Price above key EMAs with bullish momentum,1767695060.972502,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
BOME,4h,BUY,75,0.000831,0.000796,Price above key EMAs with bullish momentum,1767695731.373747,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
BOME,4h,BUY,75,0.000826,0.000796,Price above key EMAs with bullish MACD alignment,1767696201.005924,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
BOME,4h,BUY,75,0.000821,0.000796,Price above key EMAs with bullish momentum,1767696593.873253,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,0.0826099486328724
BOME,4h,BUY,80,0.000839,0.000796,"Price above all EMAs, MACD bullish, RSI strong",1767700243.671373,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.0893742576536765
BOME,4h,BUY,75,0.000789,0.00078,RSI neutral but price above key EMAs in volatile breakout,1767721668.888106,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,0.3669902406492897
BOME,4h,BUY,75,0.000797,0.000785,"MACD bullish crossover, price above key EMAs",1767725330.589829,VOLATILE_BREAKOUT,BULLISH,Decreasing,40.0,-0.6874207271506227
BOME,4h,BUY,75,0.000796,0.000785,RSI neutral but price above key EMAs in volatile breakout,1767725506.367172,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,-0.4443689520787711
BOME,4h,BUY,75,0.000787,0.000785,Price above key EMAs with bullish alignment,1767747973.885377,VOLATILE_BREAKOUT,BULLISH,Decreasing,42.85714285714285,-0.4045066473725614
BOME,4h,BUY,75,0.000777,0.000771,"RSI oversold, price near lower Bollinger Band",1767751628.753212,VOLATILE_BREAKOUT,BULLISH,Decreasing,37.5,-0.4851896050346835
BOME,4h,BUY,70,0.00078,0.00077,RSI neutral but price above key EMAs in volatile breakout,1767755314.911904,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.563735447580771
BOME,4h,BUY,75,0.000788,0.000771,"MACD bullish crossover, price above key EMAs",1767756119.242278,VOLATILE_BREAKOUT,BULLISH,Decreasing,40.0,-0.4773867354279386
BOME,4h,BUY,75,0.000778,0.000772,"RSI oversold, price near lower Bollinger Band",1767759763.868478,VOLATILE_BREAKOUT,BULLISH,Decreasing,45.45454545454545,-0.3521344220055252
BOME,4h,BUY,75,0.000777,0.000771,"RSI oversold at 35.96, price near recent lows",1767763401.237824,VOLATILE_BREAKOUT,BULLISH,Decreasing,41.66666666666667,-0.4226652766970164
BOME,4h,BUY,75,0.00078,0.000771,"RSI oversold near 36, price above key EMAs",1767767051.643982,VOLATILE_BREAKOUT,BULLISH,Decreasing,38.46153846153847,-0.4016559501022428
BOME,4h,BUY,75,0.000782,0.000771,RSI oversold near 35 with price above key EMAs,1767770718.22063,VOLATILE_BREAKOUT,BULLISH,Decreasing,42.85714285714285,-0.3491388610220676
BOME,4h,BUY,75,0.000801,0.000775,RSI neutral but price above key EMAs in volatile breakout regime,1767774377.432827,VOLATILE_BREAKOUT,BULLISH,Decreasing,46.66666666666666,-0.3112920411825475
BOME,4h,BUY,75,0.000789,0.000774,RSI neutral but price above key EMAs in volatile breakout regime,1767778041.792346,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,-0.1500591258670114
BOME,4h,BUY,75,0.000786,0.000774,RSI neutral but MACD above signal and price above key EMAs,1767781710.208146,VOLATILE_BREAKOUT,BULLISH,Decreasing,47.05882352941176,-0.2249518044757309
BOME,4h,BUY,75,0.00079,0.000774,RSI neutral but price above key EMAs in volatile breakout,1767785361.700151,VOLATILE_BREAKOUT,BULLISH,Decreasing,44.44444444444444,-0.2331242430234356
BOME,4h,NOTHING,65,0.000759,0.000749,"Mixed signals with RSI neutral, MACD bearish, price below key EMAs",1767847943.579511,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,47.368421052631575,-0.1960227382513991
BOME,4h,BUY,75,0.000757,0.000749,"RSI oversold, MACD bullish divergence forming",1767851597.992029,VOLATILE_BREAKOUT,BULLISH,Decreasing,45.0,-0.373547876092351
BOME,4h,BUY,75,0.000748,0.000744,"RSI oversold, price near lower Bollinger Band",1767855282.424018,VOLATILE_BREAKOUT,BULLISH,Decreasing,47.61904761904761,-0.3565684271790624
BOME,4h,BUY,70,0.000749,0.000741,"RSI oversold, price near recent low, MACD potential reversal",1767858940.603086,VOLATILE_BREAKOUT,BULLISH,Increasing,45.45454545454545,-0.3927569115065247
BOME,4h,BUY,75,0.000738,0.000736,"RSI oversold below 35, price near lower Bollinger Band",1767862596.761907,VOLATILE_BREAKOUT,BULLISH,Decreasing,47.82608695652174,-0.3708216302115777
BOME,4h,BUY,90,0.00072,0.000719,RSI oversold and price near Bollinger lower band,1767866243.636574,VOLATILE_BREAKOUT,BULLISH,Decreasing,45.83333333333333,-0.414733758327547
BOME,4h,BUY,80,0.000723,0.000715,RSI oversold and price near Bollinger Band lower boundary,1767869889.50286,VOLATILE_BREAKOUT,BULLISH,Decreasing,44.0,-0.49259109032433
BOME,4h,BUY,90,0.000725,0.000715,RSI oversold and price near Bollinger Band lower boundary,1767889149.352783,VOLATILE_BREAKOUT,BULLISH,Decreasing,46.15384615384615,-0.4589148771024413
BOME,4h,BUY,80,0.000727,0.000715,RSI oversold with price near Bollinger lower band,1767892810.959086,VOLATILE_BREAKOUT,BULLISH,Decreasing,48.14814814814815,-0.4326455896026851
BOME,4h,BUY,90,0.000723,0.000714,RSI oversold and price near Bollinger Band lower limit,1767896477.396087,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,-0.4082142910313674
