symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
JTO,4h,BUY,75,0.49477,0.485,Price above key EMAs with bullish alignment in volatile breakout,1767695071.323811,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
JTO,4h,BUY,75,0.49619,0.485,"Price above key EMAs, MACD bullish, volatile breakout regime",1767695741.442331,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
JTO,4h,BUY,75,0.49638,0.488,Price above key EMAs in volatile breakout,1767696211.444325,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
JTO,4h,BUY,75,0.49638,0.488,Price above key EMAs with bullish momentum,1767696604.338923,VOLATILE_BREAKOUT,BULLISH,Decreasing,100.0,0.1084312749139855
JTO,4h,BUY,75,0.50679,0.488,Price above key EMAs in volatile breakout regime,1767700250.835034,VOLATILE_BREAKOUT,BULLISH,Decreasing,66.66666666666666,0.0813234561854892
JTO,4h,BUY,75,0.48548,0.478,Price above key EMAs with bullish alignment,1767721678.897136,VOLATILE_BREAKOUT,BULLISH,Decreasing,75.0,0.4844954868147022
JTO,4h,BUY,75,0.48391,0.478,Price above key EMAs with bullish alignment,1767725339.040412,VOLATILE_BREAKOUT,BULLISH,Increasing,60.0,-0.2970700096640558
JTO,4h,BUY,75,0.48379,0.478,Price above key EMAs with bullish alignment,1767725515.972313,VOLATILE_BREAKOUT,BULLISH,Increasing,50.0,-0.3008301915483465
JTO,4h,BUY,75,0.47772,0.475,Price near 20EMA support with bullish EMA alignment,1767747983.188705,VOLATILE_BREAKOUT,BULLISH,Decreasing,42.85714285714285,-0.2663261675583076
JTO,4h,BUY,75,0.47264,0.465,"RSI oversold, price near 50EMA support",1767751638.067412,VOLATILE_BREAKOUT,BULLISH,Decreasing,37.5,-0.3761428840392803
JTO,4h,BUY,75,0.47215,0.468,RSI oversold near support with bullish divergence,1767755325.14209,VOLATILE_BREAKOUT,BULLISH,Increasing,33.33333333333333,-0.4448670365630914
JTO,4h,BUY,75,0.47509,0.468,Price above key EMAs in strong uptrend,1767756129.1878,STRONG_TREND,BULLISH,Increasing,30.0,-0.4138493955829911
JTO,4h,BUY,75,0.46766,0.465,"RSI oversold, price at support near 20EMA",1767759770.867201,VOLATILE_BREAKOUT,BULLISH,Decreasing,36.36363636363637,-0.3274716568480367
JTO,4h,BUY,75,0.46592,0.462,RSI oversold near support with bullish divergence potential,1767763408.254573,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.4225826221466064
JTO,4h,BUY,75,0.46421,0.462,"RSI near oversold, price below 20EMA but near 50EMA support",1767767062.327734,VOLATILE_BREAKOUT,BULLISH,Decreasing,30.76923076923077,-0.4189742331043412
JTO,4h,BUY,75,0.46245,0.46,"RSI oversold near 40, price at recent low support",1767770729.021937,VOLATILE_BREAKOUT,BULLISH,Decreasing,28.57142857142857,-0.4155103373442715
JTO,4h,BUY,75,0.46514,0.46,"RSI near oversold, price below 20EMA but above 50EMA, MACD above signal",1767774387.012432,VOLATILE_BREAKOUT,BULLISH,Decreasing,26.666666666666668,-0.4132371132513788
JTO,4h,BUY,75,0.45745,0.45,"RSI oversold, price below 20EMA but near 50EMA support",1767778053.956026,STRONG_TREND,BULLISH,Decreasing,31.25,-0.354712312093467
JTO,4h,BUY,75,0.4542,0.45,"RSI oversold near 39, price below 20EMA but above 50EMA in strong trend",1767781723.044576,STRONG_TREND,BULLISH,Decreasing,29.411764705882355,-0.4268541660577262
JTO,4h,BUY,75,0.45469,0.45,"RSI oversold, price below 20EMA but near 50EMA support",1767785368.576566,STRONG_TREND,BULLISH,Decreasing,27.77777777777778,-0.4417807972957556
JTO,4h,BUY,75,0.44055,0.432,"RSI oversold, price near lower Bollinger Band",1767847952.482004,STRONG_TREND,BULLISH,Decreasing,31.57894736842105,-0.4142976579153357
JTO,4h,BUY,75,0.44535,0.432,RSI oversold and price near recent low,1767851608.106276,STRONG_TREND,BULLISH,Decreasing,30.0,-0.5426554399230116
JTO,4h,BUY,75,0.44118,0.432,"RSI oversold below 35, price near recent low",1767855292.578831,STRONG_TREND,BULLISH,Decreasing,33.33333333333333,-0.4684644127918337
JTO,4h,BUY,75,0.44429,0.432,"RSI oversold, price below EMAs suggests potential reversal",1767858950.642231,STRONG_TREND,BULLISH,Decreasing,31.818181818181817,-0.4888069253992268
JTO,4h,BUY,90,0.44201,0.432,"RSI oversold below 30, price near 24h low",1767862606.403309,STRONG_TREND,BULLISH,Decreasing,34.78260869565217,-0.4390679829279353
JTO,4h,BUY,85,0.4411,0.432,Oversold RSI with price near recent low,1767866251.304482,STRONG_TREND,BULLISH,Decreasing,33.33333333333333,-0.4420323967895974
JTO,4h,BUY,80,0.43822,0.432,RSI oversold and MACD nearing bullish crossover,1767869896.357432,STRONG_TREND,BULLISH,Decreasing,32.0,-0.4329495236467195
JTO,4h,BUY,90,0.44534,0.428,"RSI oversold below 30, price near 100EMA support",1767889156.645052,STRONG_TREND,BULLISH,Decreasing,30.76923076923077,-0.4410963254233748
JTO,4h,BUY,90,0.45111,0.428,"RSI oversold, price above 100EMA, MACD potential reversal",1767892822.443017,STRONG_TREND,BULLISH,Decreasing,33.33333333333333,-0.3673159320359185
JTO,4h,BUY,85,0.45557,0.445,RSI oversold and MACD turning bullish,1767896488.358477,STRONG_TREND,BULLISH,Increasing,35.714285714285715,-0.3099726486265067
JTO,4h,BUY,80,0.44825,0.442,RSI oversold and price near EMA support,1767914412.327632,STRONG_TREND,BULLISH,Increasing,37.93103448275862,-0.2666844808092039
JTO,4h,BUY,80,0.44541,0.442,RSI oversold and price near EMA support,1767918070.920106,STRONG_TREND,BULLISH,Decreasing,36.66666666666666,-0.3099133143851319
JTO,4h,BUY,75,0.45568,0.442,"RSI oversold, MACD turning bullish",1767932305.009794,STRONG_TREND,BULLISH,Decreasing,35.483870967741936,-0.3200277424963187
JTO,4h,BUY,75,0.45383,0.442,RSI oversold and price near EMA support,1767935956.85702,STRONG_TREND,BULLISH,Decreasing,37.5,-0.2404589994461436
JTO,4h,BUY,75,0.45272,0.442,RSI oversold and MACD approaching bullish crossover,1767939633.187781,STRONG_TREND,BULLISH,Decreasing,36.36363636363637,-0.2453274599713558
JTO,4h,BUY,75,0.45235,0.442,RSI oversold and price near recent low support,1767943290.892498,STRONG_TREND,BULLISH,Decreasing,35.294117647058826,-0.2453062461651289
JTO,4h,BUY,75,0.44844,0.442,"RSI oversold near 39, price at recent low",1767946953.63737,VOLATILE_BREAKOUT,BULLISH,Decreasing,34.285714285714285,-0.2407624121198107
JTO,4h,BUY,75,0.45038,0.442,"RSI oversold near 40, MACD turning up from deep negative",1767950611.281676,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.2576168045197164
JTO,4h,BUY,70,0.44693,0.442,RSI neutral but price near EMA support in volatile regime,1768000073.581609,VOLATILE_BREAKOUT,BULLISH,Decreasing,35.13513513513514,-0.2394529194362916
JTO,4h,BUY,75,0.44501,0.438,RSI neutral but price above key EMAs in volatile breakout,1768003720.96529,VOLATILE_BREAKOUT,BULLISH,Decreasing,34.21052631578947,-0.2529546344635043
JTO,4h,BUY,70,0.444,0.438,RSI neutral but price near 20EMA support in volatile regime,1768007360.749682,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.2573707055047872
JTO,4h,BUY,75,0.44528,0.438,RSI neutral but price above key EMAs in volatile breakout,1768011002.287408,VOLATILE_BREAKOUT,BULLISH,Decreasing,32.5,-0.2566290100506054
