symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
PYTH,4h,BUY,70,0.14699,0.1435,"Price above key EMAs, MACD turning bullish",1753229147.427862,NEUTRAL,BULLISH,Decreasing,,
PYTH,4h,NOTHING,45,0.11568,0.114,"Mixed signals with RSI neutral, MACD improving but below zero, and price below key EMAs",1756339951.765616,NEUTRAL,SIDEWAYS,Decreasing,,
PYTH,4h,NOTHING,55,0.16149,0.152,RSI oversold but MACD bearish and price below key EMAs,1756762668.555868,NEUTRAL,SIDEWAYS,Decreasing,,
PYTH,4h,NOTHING,60,0.15923,0.152,RSI oversold but MACD bearish crossover and price below key EMAs,1756766320.224154,NEUTRAL,SIDEWAYS,Increasing,0.0,-7.100256253259858
PYTH,4h,NOTHING,55,0.16183,0.155,Weak bearish momentum with oversold RSI but no clear reversal signals,1756771961.60361,NEUTRAL,SIDEWAYS,Decreasing,33.33333333333333,-5.325192189944894
PYTH,4h,NOTHING,60,0.16057,0.155,Bearish momentum with oversold RSI but no reversal confirmation,1756773204.046014,VOLATILE_BREAKOUT,BEARISH,Decreasing,50.0,-4.260153751955915
PYTH,4h,BUY,90,0.15951,0.158,RSI extremely oversold at 12.31 with MACD showing bullish divergence,1756774620.62536,VOLATILE_BREAKOUT,BULLISH,Decreasing,60.0,-3.550128126629929
PYTH,4h,BUY,90,0.16461,0.159,RSI oversold with MACD showing bullish divergence,1756777937.45192,VOLATILE_BREAKOUT,BULLISH,Decreasing,66.66666666666666,-3.0429669656827967
PYTH,4h,BUY,90,0.16306,0.159,RSI oversold at 15.76 with MACD showing bullish divergence,1756778851.236285,VOLATILE_BREAKOUT,BULLISH,Increasing,71.42857142857143,-2.262934631741304
PYTH,4h,BUY,90,0.16271,0.159,Oversold RSI with MACD turning bullish,1756779502.619544,VOLATILE_BREAKOUT,BULLISH,Increasing,62.5,-2.1161218488464235
PYTH,4h,BUY,85,0.16699,0.164,RSI oversold with MACD showing bullish divergence,1756788612.279374,VOLATILE_BREAKOUT,BULLISH,Decreasing,55.55555555555556,-1.9259741555599663
PYTH,4h,BUY,90,0.16742,0.164,RSI oversold with MACD showing bullish momentum,1756789338.335364,VOLATILE_BREAKOUT,BULLISH,Decreasing,60.0,-1.5117540680360593
PYTH,4h,BUY,75,0.17434,0.1715,RSI oversold with MACD bullish divergence,1757817601.235061,NEUTRAL,BULLISH,Decreasing,63.63636363636363,-1.3643161916056636
PYTH,4h,BUY,75,0.14586,0.145,"RSI oversold below 30, MACD showing bullish divergence",1758776116.127065,VOLATILE_BREAKOUT,BULLISH,Decreasing,66.66666666666666,-0.9414212995338512
PYTH,4h,BUY,75,0.12109,0.1195,RSI oversold at 23.45 with bullish divergence,1760331358.894382,VOLATILE_BREAKOUT,BULLISH,Decreasing,61.53846153846154,-2.041026590770708
PYTH,4h,BUY,70,0.12049,0.1195,RSI overbought but MACD bullish crossover forming,1760335011.811395,VOLATILE_BREAKOUT,BULLISH,Decreasing,57.14285714285714,-3.0370939894041844
PYTH,4h,BUY,90,0.12193,0.1195,RSI oversold at 70.46 with bullish MACD crossover forming,1760338656.369301,VOLATILE_BREAKOUT,BULLISH,Decreasing,53.333333333333336,-2.8782443160326467
PYTH,4h,BUY,90,0.12185,0.1195,RSI overbought but MACD bullish crossover forming,1760339196.453555,VOLATILE_BREAKOUT,BULLISH,Decreasing,56.25,-2.638634654679851
PYTH,4h,SELL,90,0.12705,0.128,RSI overbought with bearish MACD divergence,1760414021.045618,VOLATILE_BREAKOUT,BEARISH,Decreasing,52.94117647058824,-2.495688919219106
PYTH,4h,SELL,80,0.12631,0.118,Mixed signals with overbought RSI but improving MACD and unclear trend,1760414785.858056,VOLATILE_BREAKOUT,BEARISH,Decreasing,55.55555555555556,-2.1397293940018
PYTH,4h,NOTHING,55,0.11144,0.108,Mixed signals with neutral RSI and conflicting MACD,1760826483.340332,NEUTRAL,SIDEWAYS,Decreasing,57.89473684210527,-2.003449915038785
PYTH,4h,NOTHING,55,0.1111,0.108,Mixed signals with neutral RSI and bearish EMA alignment,1760829001.682457,NEUTRAL,SIDEWAYS,Decreasing,60.0,-1.272642622397038
PYTH,4h,NOTHING,55,0.11098,0.108,Mixed signals with neutral RSI and weak MACD momentum,1760832633.926404,NEUTRAL,SIDEWAYS,Decreasing,61.90476190476191,-1.2147952304699
PYTH,4h,NOTHING,55,0.10984,0.108,"Mixed signals with RSI neutral, MACD negative but improving, and price below key EMAs",1760836267.549401,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,63.63636363636363,-1.161978046536426
PYTH,4h,NOTHING,55,0.11069,0.108,Mixed signals with neutral RSI and weak MACD momentum,1760839901.613316,NEUTRAL,SIDEWAYS,Decreasing,65.21739130434783,-1.1135622945974084
PYTH,4h,NOTHING,55,0.11014,0.108,Mixed signals with RSI neutral and MACD negative but improving,1760843533.951935,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,66.66666666666666,-1.069019802813512
PYTH,4h,NOTHING,55,0.11134,0.108,Mixed signals with neutral RSI and weak MACD momentum,1760847166.702341,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,68.0,-1.027903656551454
PYTH,4h,NOTHING,55,0.11086,0.108,Mixed signals with RSI neutral and MACD improving but still negative,1760850798.787316,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,69.23076923076923,-0.989833150753252
PYTH,4h,NOTHING,55,0.11022,0.108,Mixed signals with neutral RSI and weak MACD momentum,1760854442.980545,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,70.37037037037037,-0.9544819667977787
PYTH,4h,NOTHING,55,0.11037,0.108,Mixed signals with neutral RSI and weak MACD convergence,1760858086.36754,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,71.42857142857143,-0.9215687955288898
PYTH,4h,NOTHING,55,0.11226,0.108,Mixed signals with neutral RSI and weak MACD momentum,1760861731.733087,NEUTRAL,SIDEWAYS,Decreasing,72.41379310344827,-0.8908498356779267
PYTH,4h,NOTHING,55,0.11085,0.108,Mixed signals with RSI neutral and MACD improving but still negative,1760865374.328746,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,73.33333333333333,-0.8621127442044453
PYTH,4h,NOTHING,55,0.11186,0.108,Mixed signals with neutral RSI and weak MACD momentum,1760869017.960964,NEUTRAL,SIDEWAYS,Decreasing,74.19354838709677,-0.8351717209480564
PYTH,4h,NOTHING,55,0.11437,0.108,Mixed signals with neutral RSI and conflicting EMA alignment,1760872651.007836,NEUTRAL,SIDEWAYS,Decreasing,75.0,-0.8098634869799335
PYTH,4h,SELL,80,0.11292,0.108,Mixed signals with overbought RSI but improving MACD,1760876283.245134,VOLATILE_BREAKOUT,BEARISH,Decreasing,75.75757575757575,-0.7860439726569942
PYTH,4h,SELL,80,0.1132,0.108,"Overbought RSI but MACD showing bullish momentum, conflicting signals",1760879915.412729,VOLATILE_BREAKOUT,BEARISH,Decreasing,76.47058823529412,-0.763585573438223
PYTH,4h,SELL,90,0.11477,0.115,RSI overbought with bearish divergence and MACD below signal line,1760883549.62266,NEUTRAL,BEARISH,Decreasing,74.28571428571429,-0.7492456914905374
PYTH,4h,SELL,80,0.11504,0.1125,"Overbought RSI but MACD showing bullish momentum, conflicting signals",1760887180.955346,NEUTRAL,BEARISH,Decreasing,72.22222222222221,-0.7659675186907972
PYTH,4h,NOTHING,60,0.11431,0.112,Mixed signals with RSI overbought but MACD improving,1760890814.201773,NEUTRAL,BULLISH,Decreasing,70.27027027027027,-0.751986820135103
PYTH,4h,SELL,80,0.11585,0.112,Mixed signals with overbought RSI but improving MACD,1760894459.998307,NEUTRAL,BEARISH,Decreasing,71.05263157894737,-0.7163303812992686
PYTH,4h,SELL,80,0.11567,0.112,Mixed signals with overbought RSI but improving MACD,1760898105.117408,NEUTRAL,BEARISH,Decreasing,71.7948717948718,-0.6984221217667869
PYTH,4h,SELL,80,0.11656,0.112,Mixed signals with overbought RSI but improving MACD,1760899335.053775,NEUTRAL,BEARISH,Decreasing,72.5,-0.6775919453345132
PYTH,4h,SELL,90,0.11651,0.115,RSI overbought with bearish MACD divergence,1760901748.38332,NEUTRAL,BEARISH,Decreasing,70.73170731707317,-0.6796386906959476
PYTH,4h,SELL,80,0.11667,0.114,"Overbought RSI but MACD showing bullish momentum, mixed signals",1760902981.254593,NEUTRAL,BEARISH,Decreasing,71.42857142857143,-0.6628351218131522
PYTH,4h,SELL,80,0.11628,0.114,Mixed signals with overbought RSI but improving MACD,1760905383.536498,NEUTRAL,BEARISH,Decreasing,69.76744186046511,-0.6508874812921137
PYTH,4h,SELL,80,0.1171,0.114,Mixed signals with overbought RSI but improving MACD,1760906828.257381,NEUTRAL,BEARISH,Decreasing,70.45454545454545,-0.6289700413340343
PYTH,4h,NOTHING,60,0.11617,0.114,Mixed signals with overbought RSI but improving MACD,1760910474.34655,NEUTRAL,BULLISH,Decreasing,68.88888888888889,-0.6305197402461095
PYTH,4h,SELL,80,0.11637,0.114,Mixed signals with overbought RSI but improving MACD,1760914117.943476,NEUTRAL,BEARISH,Decreasing,69.56521739130434,-0.6000714283949173
PYTH,4h,NOTHING,60,0.11479,0.112,"Mixed signals with RSI neutral, MACD improving but negative, and sideways market",1760917761.439424,SIDEWAYS,BULLISH,Decreasing,70.2127659574468,-0.5875699403033566
PYTH,4h,NOTHING,65,0.11311,0.1115,"Mixed signals with RSI neutral, MACD improving but negative, and low volume",1760921400.294952,SIDEWAYS,BULLISH,Decreasing,70.83333333333334,-0.5474883799300356
PYTH,4h,NOTHING,65,0.11376,0.1115,"Mixed signals with RSI neutral, MACD improving but still negative",1760925037.238926,NEUTRAL,BULLISH,Decreasing,71.42857142857143,-0.536538612331435
PYTH,4h,NOTHING,65,0.11436,0.1115,Mixed signals with high RSI but improving MACD,1760928680.702596,NEUTRAL,BULLISH,Decreasing,72.0,-0.5260182473837598
PYTH,4h,SELL,80,0.11652,0.1115,Mixed signals with overbought RSI but improving MACD,1760932330.836033,NEUTRAL,BEARISH,Decreasing,72.54901960784314,-0.515902511857149
PYTH,4h,SELL,80,0.11649,0.1115,Mixed signals with overbought RSI but improving MACD,1760935975.962604,NEUTRAL,BEARISH,Decreasing,73.07692307692307,-0.506168502199467
PYTH,4h,SELL,90,0.11703,0.1173,RSI overbought with bearish MACD divergence,1760939611.299344,NEUTRAL,BEARISH,Decreasing,73.58490566037736,-0.4963180987597794
PYTH,4h,SELL,90,0.12183,0.1205,RSI overbought with MACD turning bearish,1760943245.706058,VOLATILE_BREAKOUT,BEARISH,Decreasing,72.22222222222221,-0.4956835905765074
PYTH,4h,SELL,80,0.11807,0.114,Mixed signals with overbought RSI but improving MACD,1760946883.217658,NEUTRAL,BEARISH,Decreasing,70.9090909090909,-0.5571877456872684
PYTH,4h,SELL,80,0.11795,0.1145,Mixed signals with overbought RSI but MACD turning positive,1760950529.826859,VOLATILE_BREAKOUT,BEARISH,Decreasing,71.42857142857143,-0.4915431968642691
PYTH,4h,SELL,90,0.11785,0.1185,RSI overbought with MACD bearish divergence,1760954163.379446,VOLATILE_BREAKOUT,BEARISH,Decreasing,71.9298245614035,-0.4813142102875286
PYTH,4h,NOTHING,65,0.11736,0.1145,Mixed signals with RSI overbought but MACD turning positive,1760957798.22578,VOLATILE_BREAKOUT,BULLISH,Decreasing,72.41379310344827,-0.4717181452404081
PYTH,4h,NOTHING,65,0.11716,0.1145,Mixed signals with high RSI but MACD approaching bullish crossover,1760961430.780317,VOLATILE_BREAKOUT,BULLISH,Decreasing,72.88135593220339,-0.4568975303907416
PYTH,4h,NOTHING,65,0.1171,0.1145,Mixed signals with high RSI but MACD turning positive,1760965062.491057,VOLATILE_BREAKOUT,BULLISH,Decreasing,73.33333333333333,-0.449407406941713
PYTH,4h,SELL,80,0.11841,0.1145,Mixed signals with overbought RSI but improving MACD,1760968693.986009,VOLATILE_BREAKOUT,BEARISH,Decreasing,73.77049180327869,-0.442158900378137
PYTH,4h,SELL,80,0.11771,0.1145,Mixed signals with overbought RSI but improving MACD,1760969329.111888,VOLATILE_BREAKOUT,BEARISH,Decreasing,74.19354838709677,-0.4351405051340396
PYTH,4h,SELL,80,0.1182,0.1145,Mixed signals with overbought RSI but improving MACD,1760972962.143215,VOLATILE_BREAKOUT,BEARISH,Decreasing,74.60317460317461,-0.4190495309098702
PYTH,4h,NOTHING,60,0.11614,0.1145,"Mixed signals with RSI neutral, MACD weak bullish but volume decreasing",1760976593.45183,WEAK_TREND,BULLISH,Decreasing,73.4375,-0.4189803320873339
PYTH,4h,NOTHING,55,0.11542,0.1125,Mixed signals with neutral RSI and weak MACD momentum,1760980225.223289,WEAK_TREND,SIDEWAYS,Decreasing,73.84615384615385,-0.3857575790138979
PYTH,4h,NOTHING,55,0.11552,0.1125,Mixed signals with RSI neutral and MACD weak bullish but volume decreasing,1760983857.402546,WEAK_TREND,BULLISH,Decreasing,74.24242424242425,-0.3800000032077203
