symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
SOL,4h,NOTHING,65,201.12,193.5,Overbought RSI and decreasing volume suggest caution,1753219709.222342,STRONG_TREND,SIDEWAYS,Decreasing,,
SOL,4h,NOTHING,70,202.45,195.5,RSI overbought but strong uptrend continues,1753223051.684612,STRONG_TREND,SIDEWAYS,Decreasing,,
SOL,4h,NOTHING,65,202.72,195.5,RSI overbought but trend remains strong,1753224130.250397,STRONG_TREND,SIDEWAYS,Increasing,,
SOL,4h,NOTHING,70,204.41,195.5,Overbought RSI and extended price above moving averages,1753227343.680731,STRONG_TREND,SIDEWAYS,Increasing,100.0,0.0
SOL,4h,BUY,80,205.21,202.5,Strong uptrend with MACD above signal line and price above key EMAs,1753229108.967941,STRONG_TREND,BULLISH,Decreasing,100.0,0.0
SOL,4h,NOTHING,65,204.19,200.5,Mixed signals with RSI near overbought but MACD bullish divergence,1756339906.572209,NEUTRAL,SIDEWAYS,Decreasing,100.0,0.0
SOL,4h,NOTHING,55,195.84,195.24,Bearish momentum but oversold near key support,1756762623.025364,NEUTRAL,SIDEWAYS,Decreasing,80.0,-0.0828419667657528
SOL,4h,NOTHING,60,194.94,194.5,Mixed signals with bearish MACD but oversold RSI near support,1756766280.940117,NEUTRAL,SIDEWAYS,Decreasing,66.66666666666666,-0.0710074000849309
SOL,4h,NOTHING,55,197.09,197.2,Mixed signals with bearish MACD but neutral RSI and price near EMAs,1756771920.219548,NEUTRAL,SIDEWAYS,Decreasing,71.42857142857143,-0.0621314750743146
SOL,4h,NOTHING,60,197.58,197.2,Mixed signals with bearish MACD but near-neutral RSI and price consolidation,1756773161.119127,NEUTRAL,SIDEWAYS,Decreasing,75.0,-0.0552279778438352
SOL,4h,BUY,70,197.23,196.5,Oversold RSI with MACD showing bullish divergence,1756774578.357663,NEUTRAL,BULLISH,Decreasing,77.77777777777779,-0.0497051800594516
SOL,4h,BUY,70,197.56,196.5,Oversold RSI near support with MACD showing potential bullish divergence,1756777103.691337,NEUTRAL,BULLISH,Decreasing,80.0,-0.0451865273267742
SOL,4h,BUY,75,199.86,197.5,"RSI near oversold, MACD showing bullish divergence",1756777885.495305,NEUTRAL,BULLISH,Decreasing,81.81818181818183,-0.0274778712802551
SOL,4h,BUY,75,199.69,197.5,RSI near oversold with MACD showing bullish divergence,1756778797.581461,NEUTRAL,BULLISH,Decreasing,83.33333333333334,0.0641899095887034
SOL,4h,BUY,75,199.02,197.5,Oversold RSI near 46 with MACD showing bullish divergence potential,1756779450.829497,NEUTRAL,BULLISH,Decreasing,76.92307692307693,0.0535292344981397
SOL,4h,BUY,75,202.38,201.5,MACD bullish crossover with RSI neutral and price above key EMAs,1756788556.679553,NEUTRAL,BULLISH,Decreasing,71.42857142857143,0.0275926151258021
SOL,4h,BUY,75,203.04,197.5,MACD bullish crossover with RSI neutral and price above key EMAs,1756789283.339086,NEUTRAL,BULLISH,Decreasing,73.33333333333333,0.1313851101444121
SOL,4h,BUY,90,246.75,243.5,RSI overbought but MACD bullish and price above all EMAs in breakout regime,1757817560.093861,VOLATILE_BREAKOUT,BULLISH,Decreasing,75.0,0.1428400555322307
SOL,4h,BUY,90,203.52,202.66,RSI oversold below 30 with potential MACD bullish reversal,1758776080.671363,VOLATILE_BREAKOUT,BULLISH,Decreasing,76.47058823529412,1.3308921512125396
SOL,4h,BUY,75,196.08,194.5,RSI oversold reversal with MACD bullish crossover forming,1760331331.369395,VOLATILE_BREAKOUT,BULLISH,Decreasing,72.22222222222221,0.3387527306799967
SOL,4h,BUY,75,193.83,193.5,RSI neutral but MACD bullish crossover forming with oversold bounce potential,1760334970.22252,VOLATILE_BREAKOUT,BULLISH,Decreasing,68.42105263157895,0.1390320752780722
SOL,4h,BUY,75,197.14,195.5,MACD bullish crossover with rising RSI,1760338621.218396,VOLATILE_BREAKOUT,BULLISH,Decreasing,65.0,0.0777690802613336
SOL,4h,BUY,75,196.91,195.5,MACD bullish crossover with RSI neutral and price above 20EMA,1760339161.075128,VOLATILE_BREAKOUT,BULLISH,Decreasing,66.66666666666666,0.1518560306754604
SOL,4h,BUY,90,206.26,204.5,RSI overbought but strong bullish momentum with MACD improving,1760413988.006006,VOLATILE_BREAKOUT,BULLISH,Increasing,63.63636363636363,0.1401810572759874
SOL,4h,SELL,80,205.26,198.95,Overbought RSI with mixed momentum and decreasing volume,1760414754.843027,VOLATILE_BREAKOUT,BEARISH,Decreasing,65.21739130434783,0.3321886047197825
SOL,4h,NOTHING,60,187.53,184.5,Mixed signals with neutral RSI and MACD still negative,1760826454.461987,NEUTRAL,SIDEWAYS,Decreasing,62.5,0.2995080614036763
SOL,4h,NOTHING,55,187.48,184.5,Mixed signals with neutral RSI and MACD below signal,1760828970.678254,NEUTRAL,SIDEWAYS,Decreasing,64.0,0.6516226468125681
SOL,4h,NOTHING,55,187.06,184.5,Mixed signals with neutral RSI and bearish MACD but no clear trend,1760832609.168323,NEUTRAL,SIDEWAYS,Decreasing,65.38461538461539,0.6274884747083989
SOL,4h,NOTHING,55,184.82,182.5,Mixed signals with neutral RSI and bearish MACD but no clear trend,1760836241.015513,NEUTRAL,SIDEWAYS,Decreasing,66.66666666666666,0.6050781720402417
SOL,4h,NOTHING,55,185.72,182.5,Mixed signals with neutral RSI and bearish MACD but no clear momentum,1760839875.201662,NEUTRAL,SIDEWAYS,Decreasing,67.85714285714286,0.58421340748713
SOL,4h,NOTHING,55,185.12,182.5,Mixed signals with neutral RSI and bearish MACD below signal line,1760843508.448799,NEUTRAL,SIDEWAYS,Decreasing,68.96551724137932,0.564739627237559
SOL,4h,NOTHING,55,186.6,182.5,Mixed signals with neutral RSI and bearish MACD but no clear trend,1760847141.20868,NEUTRAL,SIDEWAYS,Decreasing,70.0,0.5465222199073152
SOL,4h,NOTHING,55,186.82,184.5,Mixed signals with neutral RSI and bearish MACD but no clear trend,1760850773.968052,NEUTRAL,SIDEWAYS,Decreasing,70.96774193548387,0.5294434005352116
SOL,4h,NOTHING,55,186.3,184.5,Mixed signals with neutral RSI and bearish MACD but improving momentum,1760854407.907133,NEUTRAL,SIDEWAYS,Decreasing,71.875,0.5133996611250536
SOL,4h,NOTHING,55,185.56,183.5,Mixed signals with neutral RSI and bearish MACD below signal line,1760858052.375878,NEUTRAL,SIDEWAYS,Decreasing,72.72727272727273,0.4982996710919638
SOL,4h,NOTHING,55,185.88,183.5,Mixed signals with neutral RSI and bearish MACD but no clear trend,1760861695.226571,NEUTRAL,SIDEWAYS,Decreasing,73.52941176470588,0.4840625376321934
SOL,4h,NOTHING,55,184.0,182.5,"Mixed signals with RSI neutral, MACD negative but improving, price below key EMAs",1760865340.950801,NEUTRAL,SIDEWAYS,Decreasing,74.28571428571429,0.4706163560312991
SOL,4h,NOTHING,55,187.25,183.5,Mixed signals with neutral RSI and MACD below signal line,1760868983.574197,NEUTRAL,SIDEWAYS,Decreasing,75.0,0.4578969950574802
SOL,4h,BUY,65,189.59,185.5,MACD bullish momentum with RSI neutral and price above 20EMA,1760872626.363669,SIDEWAYS,BULLISH,Decreasing,75.67567567567568,0.445847074134915
SOL,4h,SELL,80,188.16,185.5,Overbought RSI with mixed MACD and decreasing volume,1760876258.429665,NEUTRAL,BEARISH,Decreasing,76.31578947368422,0.4344150978750454
SOL,4h,SELL,80,188.61,185.5,"Overbought RSI but MACD showing bullish momentum, conflicting signals",1760879890.222298,NEUTRAL,BEARISH,Decreasing,74.35897435897436,0.4046982406560293
SOL,4h,SELL,80,190.87,185.5,Overbought RSI but MACD showing bullish momentum,1760883523.703791,NEUTRAL,BEARISH,Decreasing,72.5,0.3890083430391717
SOL,4h,SELL,80,190.45,185.5,Overbought RSI but MACD showing bullish momentum,1760887156.575688,NEUTRAL,BEARISH,Decreasing,70.73170731707317,0.3515545260014117
SOL,4h,SELL,80,190.17,185.5,Mixed signals with overbought RSI but improving MACD,1760890788.462554,NEUTRAL,BEARISH,Decreasing,71.42857142857143,0.3485074515111323
SOL,4h,SELL,80,191.49,185.5,"Overbought RSI but MACD showing bullish momentum, conflicting signals",1760894423.836723,NEUTRAL,BEARISH,Decreasing,72.09302325581395,0.343933115862422
SOL,4h,SELL,80,189.28,185.5,Mixed signals with overbought RSI but improving MACD,1760898070.433973,NEUTRAL,BEARISH,Decreasing,70.45454545454545,0.3209716902751854
SOL,4h,SELL,80,189.73,185.5,Mixed signals with overbought RSI but improving MACD,1760899301.049644,NEUTRAL,BEARISH,Decreasing,71.11111111111111,0.3393762713036034
SOL,4h,SELL,80,188.92,185.5,Mixed signals with overbought RSI but improving MACD,1760901716.233095,NEUTRAL,BEARISH,Decreasing,69.56521739130434,0.3271091346946449
SOL,4h,NOTHING,60,188.78,185.5,Mixed signals with overbought RSI but improving MACD momentum,1760902944.997528,NEUTRAL,BULLISH,Decreasing,70.2127659574468,0.3292267133736146
SOL,4h,NOTHING,65,188.8,185.5,Mixed signals with neutral RSI and bearish MACD but no clear trend,1760905356.333282,NEUTRAL,BULLISH,Decreasing,70.83333333333334,0.3240212783730769
SOL,4h,NOTHING,65,189.53,185.5,Mixed signals with RSI overbought but MACD improving,1760906711.959706,NEUTRAL,BULLISH,Decreasing,71.42857142857143,0.3175408528056154
SOL,4h,NOTHING,65,189.58,185.5,Mixed signals with high RSI but improving MACD,1760906804.588508,NEUTRAL,BULLISH,Decreasing,72.0,0.3113145615741327
