symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
WIF,4h,BUY,75,1.235,1.2,"Price above key EMAs, MACD bullish crossover forming",1753223064.492604,STRONG_TREND,BULLISH,Decreasing,,
WIF,4h,BUY,70,1.2346,1.2,"RSI recovering from oversold, MACD about to cross bullish",1753224141.036835,STRONG_TREND,BULLISH,Decreasing,,
WIF,4h,BUY,75,1.2701,1.22,Strong uptrend with MACD crossing above signal line,1753227354.898636,STRONG_TREND,BULLISH,Increasing,,
WIF,4h,BUY,70,1.2634,1.22,Price above key EMAs with bullish MACD crossover,1753229118.809434,STRONG_TREND,BULLISH,Decreasing,50.0,0.9476788583253885
WIF,4h,NOTHING,45,0.81934,0.805,"Mixed signals with RSI neutral, MACD negative but improving, price below key EMAs",1756339918.146484,NEUTRAL,SIDEWAYS,Decreasing,33.33333333333333,0.5788797641676308
WIF,4h,NOTHING,55,0.73773,0.735,Oversold but no bullish reversal confirmation,1756762634.274612,NEUTRAL,SIDEWAYS,Decreasing,25.0,-6.566498848156161
WIF,4h,NOTHING,60,0.74171,0.735,Oversold but no bullish reversal confirmation yet,1756766290.769013,NEUTRAL,SIDEWAYS,Decreasing,20.0,-5.472082373463468
WIF,4h,NOTHING,55,0.75369,0.735,Oversold but no bullish reversal confirmation,1756771929.955045,NEUTRAL,SIDEWAYS,Decreasing,33.33333333333333,-4.690356320111543
WIF,4h,NOTHING,60,0.75655,0.735,Oversold but no bullish reversal confirmation,1756773170.972829,WEAK_TREND,BEARISH,Decreasing,42.85714285714285,-4.1040617800976005
WIF,4h,BUY,90,0.75338,0.745,RSI oversold below 30 with potential MACD bullish divergence forming,1756774588.292631,WEAK_TREND,BULLISH,Decreasing,50.0,-3.648054915642312
WIF,4h,BUY,75,0.76334,0.752,Oversold RSI with MACD showing bullish divergence,1756777898.612468,WEAK_TREND,BULLISH,Decreasing,55.55555555555556,-3.2832494240780803
WIF,4h,BUY,75,0.76074,0.752,RSI oversold below 30 with MACD showing bullish divergence,1756778810.811429,WEAK_TREND,BULLISH,Decreasing,60.0,-2.86458656758022
WIF,4h,BUY,90,0.75584,0.752,RSI oversold below 30 with MACD showing bullish divergence,1756779464.715445,WEAK_TREND,BULLISH,Decreasing,54.54545454545454,-2.65425505186238
WIF,4h,BUY,75,0.7759,0.772,Oversold RSI with MACD showing bullish momentum,1756788570.713777,WEAK_TREND,BULLISH,Decreasing,50.0,-2.4996284850019963
WIF,4h,BUY,75,0.77692,0.772,RSI oversold with MACD showing bullish divergence,1756789297.231894,WEAK_TREND,BULLISH,Decreasing,53.84615384615385,-2.1315121041632783
WIF,4h,BUY,75,0.96843,0.955,RSI near overbought but MACD bullish and price above key EMAs,1757817570.390438,VOLATILE_BREAKOUT,BULLISH,Decreasing,57.14285714285714,-1.9806472812376184
WIF,4h,BUY,75,0.75967,0.755,RSI oversold below 30 with MACD showing bullish convergence,1758776089.14753,VOLATILE_BREAKOUT,BULLISH,Decreasing,60.0,-0.3162381009375932
WIF,4h,BUY,90,0.55197,0.545,RSI oversold below 30 with bullish MACD divergence,1760331338.432182,VOLATILE_BREAKOUT,BULLISH,Decreasing,56.25,-1.5656676224559885
WIF,4h,BUY,90,0.54933,0.545,RSI oversold at 29.73 with bullish MACD divergence,1760334980.460716,VOLATILE_BREAKOUT,BULLISH,Decreasing,52.94117647058824,-2.99762047897767
WIF,4h,BUY,90,0.55873,0.545,RSI oversold at 29.73 with bullish MACD crossover,1760338630.280123,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,-2.8650239728955023
WIF,4h,BUY,90,0.55987,0.545,RSI oversold at 29.73 with bullish MACD crossover,1760339170.082745,VOLATILE_BREAKOUT,BULLISH,Decreasing,52.63157894736842,-2.63621400265624
WIF,4h,BUY,90,0.59036,0.585,RSI overbought but strong breakout with volume confirmation,1760413996.55084,VOLATILE_BREAKOUT,BULLISH,Increasing,55.00000000000001,-2.500964090678641
WIF,4h,SELL,80,0.587,0.555,Overbought RSI with mixed momentum and decreasing volume,1760414762.562145,VOLATILE_BREAKOUT,BEARISH,Decreasing,57.14285714285714,-2.139742673576274
WIF,4h,NOTHING,55,0.51877,0.508,"Mixed signals with neutral RSI, bearish EMA alignment, but improving MACD",1760826461.772771,NEUTRAL,SIDEWAYS,Decreasing,54.54545454545454,-2.0714557856366755
