symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
JTO,4h,NOTHING,65,0.3876,0.3876,"RSI neutral, MACD flat, price between EMAs in sideways market",1767072549.129067,SIDEWAYS,BEARISH,Decreasing,,
JTO,4h,BUY,70,0.38781,0.384,"RSI oversold near 40, price above 50EMA support",1767074138.233808,SIDEWAYS,BULLISH,Decreasing,,
JTO,4h,BUY,75,0.3877,0.384,"RSI oversold, price near EMA support",1767075168.246995,SIDEWAYS,BULLISH,Decreasing,,
JTO,4h,BUY,75,0.38732,0.384,RSI oversold and price near EMA support,1767075940.016235,SIDEWAYS,BULLISH,Decreasing,50.0,-0.0094548017499973
JTO,4h,BUY,75,0.38773,0.384,RSI oversold near 40 with price above key EMAs,1767076207.98687,SIDEWAYS,BULLISH,Decreasing,33.33333333333333,-0.0315945833862657
JTO,4h,BUY,75,0.38877,0.384,"RSI oversold, price near EMA support",1767076996.778787,SIDEWAYS,BULLISH,Decreasing,50.0,-0.0041045420575591
JTO,4h,BUY,75,0.38725,0.384,"RSI oversold near 39, price above 50EMA support",1767077796.72812,SIDEWAYS,BULLISH,Decreasing,60.0,0.0412841967090997
JTO,4h,BUY,75,0.38663,0.384,RSI oversold with price near EMA support,1767078827.237547,SIDEWAYS,BULLISH,Decreasing,50.0,-0.0204673556794226
JTO,4h,BUY,75,0.38593,0.384,"RSI oversold below 35, price near EMA support",1767079599.118062,SIDEWAYS,BULLISH,Decreasing,42.85714285714285,-0.0379218477753379
JTO,4h,BUY,75,0.38593,0.384,"RSI oversold, price above key EMAs",1767079604.660031,SIDEWAYS,BULLISH,Decreasing,37.5,-0.0538251592947119
JTO,4h,BUY,75,0.3855,0.384,RSI oversold and price above 50EMA support,1767079868.921603,SIDEWAYS,BULLISH,Decreasing,33.33333333333333,-0.0484426433652407
JTO,4h,BUY,75,0.38647,0.384,"RSI oversold below 40, price near EMA support",1767080716.024766,SIDEWAYS,BULLISH,Decreasing,30.0,-0.05416778208471
JTO,4h,BUY,75,0.3864,0.384,"RSI oversold, price above key EMAs",1767081456.821357,SIDEWAYS,BULLISH,Decreasing,36.36363636363637,-0.0286853609879409
JTO,4h,BUY,75,0.39165,0.385,"Price above key EMAs, MACD bullish convergence forming",1767082489.94029,SIDEWAYS,BULLISH,Decreasing,33.33333333333333,-0.0278720763542423
JTO,4h,BUY,70,0.38942,0.384,Price near 50EMA support with RSI neutral and MACD above signal,1767083259.967922,SIDEWAYS,BULLISH,Decreasing,38.46153846153847,0.0711684756834823
JTO,4h,BUY,70,0.38942,0.384,"RSI near oversold, price above 50EMA support",1767083269.269067,SIDEWAYS,BULLISH,Decreasing,35.714285714285715,0.0284648485501685
JTO,4h,BUY,75,0.39002,0.384,"RSI near oversold, price above key EMAs",1767083514.130829,SIDEWAYS,BULLISH,Decreasing,33.33333333333333,0.026685795515783
JTO,4h,BUY,75,0.39003,0.384,"RSI near oversold, price above 50EMA, MACD above signal",1767084361.187573,SIDEWAYS,BULLISH,Decreasing,37.5,0.0341792952771545
JTO,4h,BUY,70,0.38964,0.384,"RSI near oversold, price above key EMAs, MACD above signal",1767085101.530695,SIDEWAYS,BULLISH,Decreasing,41.17647058823529,0.0324228883772241
JTO,4h,BUY,70,0.39325,0.384,RSI neutral but price above key EMAs in weak trend,1767086148.211975,WEAK_TREND,BULLISH,Decreasing,38.88888888888889,0.0254536675003186
JTO,4h,BUY,65,0.39293,0.385,RSI neutral but price above key EMAs with MACD positive,1767086919.027454,WEAK_TREND,BULLISH,Decreasing,42.10526315789473,0.070505796772875
JTO,4h,BUY,70,0.39293,0.385,RSI neutral but price above key EMAs with MACD above signal,1767086927.113805,WEAK_TREND,BULLISH,Decreasing,40.0,0.0632734649131066
JTO,4h,BUY,70,0.38977,0.385,"RSI near oversold, price above 50EMA support",1767087164.326968,SIDEWAYS,BULLISH,Decreasing,38.095238095238095,0.0603973983261472
JTO,4h,BUY,70,0.38992,0.385,"RSI near oversold, price above 50EMA support",1767088019.116279,SIDEWAYS,BULLISH,Decreasing,36.36363636363637,0.022805577045413
JTO,4h,BUY,75,0.39168,0.385,"Price above key EMAs, MACD above signal, RSI neutral",1767088759.952993,SIDEWAYS,BULLISH,Decreasing,39.130434782608695,0.0234588544306885
JTO,4h,BUY,75,0.39311,0.388,Price above key EMAs with bullish MACD,1767128687.654734,NEUTRAL,BULLISH,Decreasing,41.66666666666667,0.0405754858915408
JTO,4h,BUY,70,0.39291,0.388,RSI neutral but price above key EMAs with MACD positive,1767132333.323484,NEUTRAL,BULLISH,Decreasing,44.0,0.0530569654437267
JTO,4h,BUY,75,0.39303,0.388,Price above key EMAs with MACD positive,1767133564.59405,NEUTRAL,BULLISH,Decreasing,42.30769230769231,0.0492075835738337
JTO,4h,BUY,75,0.39385,0.39,Price above key EMAs with bullish MACD alignment,1767135984.379081,NEUTRAL,BULLISH,Decreasing,44.44444444444444,0.0485409322085632
JTO,4h,BUY,75,0.39384,0.39,Price above key EMAs with bullish alignment,1767139644.78669,NEUTRAL,BULLISH,Decreasing,46.42857142857143,0.054061433619271
JTO,4h,BUY,75,0.39325,0.39,Price above key EMAs with bullish alignment,1767143301.503075,NEUTRAL,BULLISH,Decreasing,44.82758620689656,0.0521747512418054
JTO,4h,BUY,75,0.39544,0.3915,Price above key EMAs with bullish MACD above signal,1767146966.079202,NEUTRAL,BULLISH,Decreasing,43.333333333333336,0.0456592099683656
JTO,4h,BUY,75,0.39475,0.3915,Price above key EMAs with bullish MACD above signal,1767149395.643395,NEUTRAL,BULLISH,Decreasing,45.16129032258064,0.0616354111508152
JTO,4h,BUY,70,0.39487,0.3915,"Price above key EMAs, RSI neutral-bullish",1767150059.30524,NEUTRAL,BULLISH,Decreasing,43.75,0.0544801206125056
