symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
PYTH,4h,BUY,90,0.058239,0.0579,"RSI oversold below 30, price near 24h low",1767072558.973471,NEUTRAL,BULLISH,Decreasing,,
PYTH,4h,BUY,90,0.058241,0.0579,"RSI oversold, price at recent low support",1767074147.978113,NEUTRAL,BULLISH,Decreasing,,
PYTH,4h,BUY,75,0.058418,0.0579,"RSI oversold at 30.2, price near recent lows",1767075179.008998,NEUTRAL,BULLISH,Decreasing,,
PYTH,4h,BUY,90,0.058333,0.0579,"RSI oversold below 30, price at recent lows near support",1767075950.0712,NEUTRAL,BULLISH,Decreasing,100.0,0.1024479139452102
PYTH,4h,BUY,85,0.058342,0.0579,"RSI oversold below 30, price at recent low near support",1767076219.276945,NEUTRAL,BULLISH,Decreasing,66.66666666666666,0.0404601608688853
PYTH,4h,BUY,75,0.058518,0.0579,"RSI oversold, price near recent low support",1767077007.638103,NEUTRAL,BULLISH,Decreasing,75.0,0.0354538606135768
PYTH,4h,BUY,75,0.058401,0.0579,"RSI oversold, price near recent lows",1767077807.474424,NEUTRAL,BULLISH,Decreasing,80.0,0.079823128219771
PYTH,4h,BUY,75,0.058497,0.058,RSI oversold below 35,1767078837.48308,NEUTRAL,BULLISH,Decreasing,66.66666666666666,0.0398571841215833
PYTH,4h,BUY,75,0.058471,0.0579,"RSI oversold below 35, price near 24h low support",1767079610.521221,NEUTRAL,BULLISH,Increasing,71.42857142857143,0.055422629469512
PYTH,4h,BUY,75,0.058471,0.0579,"RSI oversold below 35, price near recent lows",1767079615.131354,NEUTRAL,BULLISH,Increasing,62.5,0.0443260346658314
PYTH,4h,BUY,75,0.058418,0.0579,"RSI oversold at 30.2, price near recent lows",1767079880.324946,NEUTRAL,BULLISH,Increasing,55.55555555555556,0.0398934311992482
PYTH,4h,BUY,75,0.058463,0.0579,"RSI oversold below 35, MACD near bullish reversal",1767080727.850512,NEUTRAL,BULLISH,Increasing,50.0,0.0280264624678157
PYTH,4h,BUY,75,0.058516,0.0579,RSI oversold and price near Bollinger Band lower boundary,1767081468.669317,NEUTRAL,BULLISH,Increasing,54.54545454545454,0.0321101782682473
PYTH,4h,BUY,75,0.059235,0.058,"RSI oversold, price below EMAs suggests potential reversal",1767082501.502596,SIDEWAYS,BULLISH,Decreasing,58.333333333333336,0.036613674428085
PYTH,4h,BUY,75,0.058981,0.058,"RSI oversold below 35, price near recent low support",1767083272.066158,NEUTRAL,BULLISH,Decreasing,61.53846153846154,0.1217643953873906
PYTH,4h,BUY,75,0.058981,0.058,RSI oversold and price near Bollinger Band lower support,1767083281.104545,NEUTRAL,BULLISH,Decreasing,57.14285714285714,0.0850600663468204
PYTH,4h,BUY,75,0.058912,0.058,RSI oversold below 35,1767083521.055591,NEUTRAL,BULLISH,Decreasing,53.333333333333336,0.0797438122001441
PYTH,4h,BUY,75,0.05891,0.058,"RSI oversold, price near lower Bollinger Band",1767084368.681653,NEUTRAL,BULLISH,Decreasing,50.0,0.0681714217021306
PYTH,4h,BUY,75,0.058966,0.058,RSI oversold and price at recent low support,1767085108.668091,NEUTRAL,BULLISH,Decreasing,47.05882352941176,0.0641955152698282
PYTH,4h,BUY,75,0.058972,0.058,"RSI oversold, price at recent low support",1767086158.841526,NEUTRAL,BULLISH,Decreasing,50.0,0.0658199755932965
PYTH,4h,BUY,75,0.058964,0.058,"RSI oversold below 35, price near recent low",1767086929.389052,NEUTRAL,BULLISH,Decreasing,52.63157894736842,0.063037744578106
PYTH,4h,BUY,75,0.058964,0.058,"RSI oversold below 35, price near recent low support",1767086937.882015,NEUTRAL,BULLISH,Decreasing,50.0,0.0593899586447822
PYTH,4h,BUY,75,0.058971,0.058,RSI oversold and price near recent low support,1767087175.405503,NEUTRAL,BULLISH,Decreasing,47.61904761904761,0.0566904150700194
PYTH,4h,BUY,75,0.058924,0.058,RSI oversold with price near Bollinger Band lower boundary,1767088030.483096,NEUTRAL,BULLISH,Decreasing,50.0,0.0547417731321319
PYTH,4h,BUY,75,0.059073,0.058,RSI oversold and price near recent low support,1767088770.670468,SIDEWAYS,BULLISH,Decreasing,47.82608695652174,0.0491400246008091
PYTH,4h,BUY,75,0.058571,0.0574,"RSI oversold, price near lower Bollinger Band",1767128695.60326,NEUTRAL,BULLISH,Decreasing,50.0,0.0572891476680976
PYTH,4h,BUY,75,0.058392,0.0574,"RSI oversold, price below EMAs for potential reversal",1767132340.435494,NEUTRAL,BULLISH,Decreasing,48.0,0.0224012567924028
PYTH,4h,BUY,75,0.058519,0.0574,RSI oversold below 35,1767133574.257881,NEUTRAL,BULLISH,Decreasing,46.15384615384615,0.0102526179377629
PYTH,4h,BUY,75,0.058393,0.0574,"RSI oversold below 35, price near recent lows",1767135995.575511,NEUTRAL,BULLISH,Decreasing,48.14814814814815,0.0176541511305305
PYTH,4h,BUY,75,0.058506,0.0574,RSI oversold and price below key EMAs,1767139654.834672,NEUTRAL,BULLISH,Decreasing,46.42857142857143,0.0096207430184538
PYTH,4h,BUY,75,0.058563,0.0574,RSI oversold and price below EMAs suggests potential reversal,1767143311.65282,NEUTRAL,BULLISH,Decreasing,48.27586206896552,0.0157505964557513
PYTH,4h,BUY,75,0.058912,0.0582,RSI oversold near 41 with bullish divergence forming,1767146976.034939,NEUTRAL,BULLISH,Decreasing,50.0,0.0183852838292872
PYTH,4h,BUY,75,0.058735,0.0579,RSI oversold and price at lower Bollinger Band,1767149405.690341,NEUTRAL,BULLISH,Decreasing,51.61290322580645,0.0364338504493726
