symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
WIF,4h,BUY,85,0.28886,0.285,RSI deeply oversold at 22.11,1767072529.154508,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
WIF,4h,BUY,85,0.28779,0.285,RSI oversold and price near 24h low,1767074117.280853,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
WIF,4h,BUY,80,0.28788,0.285,Oversold RSI with price at 24h low support,1767075146.474721,VOLATILE_BREAKOUT,BULLISH,Decreasing,,
WIF,4h,BUY,80,0.28701,0.285,Oversold RSI with price at 24h low support,1767075919.279691,VOLATILE_BREAKOUT,BULLISH,Decreasing,50.0,-0.1130496181549293
WIF,4h,BUY,85,0.28694,0.284,Extreme oversold RSI with price near 24h low,1767076186.088886,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.1603395270801444
WIF,4h,BUY,85,0.28788,0.284,Oversold RSI with price near 24h low,1767076974.095455,VOLATILE_BREAKOUT,BULLISH,Decreasing,25.0,-0.1331495004836691
WIF,4h,BUY,80,0.2874,0.284,Oversold RSI with price at 24h low support,1767077774.159853,VOLATILE_BREAKOUT,BULLISH,Decreasing,40.0,-0.0563588138890347
WIF,4h,BUY,80,0.28812,0.284,"RSI deeply oversold, MACD may be bottoming",1767078806.2426,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.0721270033417963
WIF,4h,BUY,90,0.28751,0.284,Oversold RSI with price at 24h low support,1767079576.172075,VOLATILE_BREAKOUT,BULLISH,Decreasing,42.85714285714285,-0.0317958878405646
WIF,4h,BUY,85,0.28747,0.284,Oversold RSI with price at 24h low support,1767079583.009505,VOLATILE_BREAKOUT,BULLISH,Decreasing,37.5,-0.0517871603024152
WIF,4h,BUY,85,0.28703,0.284,Extreme oversold RSI with price near 24h low,1767079845.950192,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.0479997002284882
WIF,4h,BUY,85,0.28797,0.284,"RSI oversold below 22, price at 24h low support",1767080694.5077,VOLATILE_BREAKOUT,BULLISH,Decreasing,30.0,-0.0575505865424168
WIF,4h,BUY,80,0.28787,0.284,Oversold RSI with price at 24h low support,1767081433.061482,VOLATILE_BREAKOUT,BULLISH,Decreasing,36.36363636363637,-0.0254637126804309
WIF,4h,BUY,90,0.29093,0.284,Oversold RSI with price near 24h low,1767082466.128813,VOLATILE_BREAKOUT,BULLISH,Decreasing,33.33333333333333,-0.0261761839740257
WIF,4h,BUY,85,0.28844,0.284,Oversold RSI with price near 24h low,1767083235.204634,VOLATILE_BREAKOUT,BULLISH,Decreasing,38.46153846153847,0.0516206732583068
