symbol,timeframe,signal,confidence,price,entry_price,reasoning,timestamp,market_regime,direction,volume_trend,historical_accuracy,recommendation_performance
JTO,4h,BUY,75,2.2049,2.14,Price above key EMAs with bullish MACD crossover,1753229137.914421,STRONG_TREND,BULLISH,Decreasing,,
JTO,4h,NOTHING,65,1.9595,1.83,"RSI overbought and volume decreasing, lacking bullish confirmation",1756339941.452206,VOLATILE_BREAKOUT,SIDEWAYS,Decreasing,,
JTO,4h,NOTHING,60,1.8127,1.795,Oversold but no bullish reversal confirmation,1756762656.542088,NEUTRAL,SIDEWAYS,Decreasing,,
JTO,4h,NOTHING,65,1.8098,1.795,Oversold but no bullish reversal confirmation,1756766309.989173,NEUTRAL,SIDEWAYS,Decreasing,0.0,-3.7099188171799136
JTO,4h,NOTHING,60,1.8269,1.795,Bearish momentum with oversold RSI but no reversal confirmation,1756771952.198272,NEUTRAL,SIDEWAYS,Decreasing,33.33333333333333,-2.782439112884936
JTO,4h,NOTHING,55,1.8307,1.795,Mixed signals with oversold RSI but MACD still bearish,1756773194.201712,VOLATILE_BREAKOUT,BEARISH,Decreasing,50.0,-2.225951290307948
JTO,4h,BUY,75,1.831,1.812,RSI oversold below 30 with MACD showing bullish divergence,1756774609.593378,VOLATILE_BREAKOUT,BULLISH,Decreasing,60.0,-1.8549594085899568
JTO,4h,BUY,75,1.8576,1.845,Oversold RSI with MACD showing bullish divergence,1756777924.735744,VOLATILE_BREAKOUT,BULLISH,Decreasing,66.66666666666666,-1.58996520736282
JTO,4h,BUY,75,1.8551,1.845,RSI oversold with MACD showing bullish divergence,1756778838.35495,VOLATILE_BREAKOUT,BULLISH,Decreasing,71.42857142857143,-1.20962479947906
JTO,4h,BUY,75,1.8505,1.84,Oversold RSI with MACD showing bullish divergence,1756779490.053039,VOLATILE_BREAKOUT,BULLISH,Decreasing,62.5,-1.0901756280564174
JTO,4h,BUY,75,1.8847,1.86,RSI oversold recovery with MACD bullish divergence,1756788598.692681,NEUTRAL,BULLISH,Decreasing,55.55555555555556,-1.0059545721776253
JTO,4h,BUY,75,1.892,1.86,RSI oversold recovery with MACD bullish divergence,1756789321.9141,NEUTRAL,BULLISH,Decreasing,60.0,-0.7464905975361433
JTO,4h,BUY,90,1.9992,1.96,RSI overbought but MACD bullish and price above key EMAs,1757817591.173155,NEUTRAL,BULLISH,Decreasing,63.63636363636363,-0.6520055853690272
JTO,4h,BUY,75,1.6005,1.595,RSI oversold below 30 with MACD showing bullish divergence,1758776106.646882,VOLATILE_BREAKOUT,BULLISH,Decreasing,66.66666666666666,-0.1660080830305075
